Title	URL	Assignees	Status	Estimated size	Real size
Livekit - Session Limit	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/112	abdulmoeez1225, qiblatainf	Feature Archive	3	3
Voice input splits into multiple bubbles & numbers/symbols are formatted wrong	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/102	1Endri, djv03	Feature Archive	5	5
Agent/LLM Memory Safeguards	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/56	djv03, shikharthakur2404	Feature Archive	8	8
[PROD] Agent config not loaded correctly	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/100	abdulmoeez1225, Asadraza17	Feature Archive	3	3
Integrate Cloud Environment with IaC	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/21	abdulmoeez1225, qiblatainf	Feature Archive	8	8
Agent Persona Guardrails	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/69	Asadraza17, shikharthakur2404	Feature Archive	5	5
User, Design & Build Documentation	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/74	K-Vineesh	Feature Archive	2	3
Logging & Monitoring Setup	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/11	abdulmoeez1225, djv03, qiblatainf	Feature Archive	8	8
Voice Interruption for Audio Chat	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/55	abdulmoeez1225, qiblatainf	Feature Archive	5	8
Slot Extraction for Structured Task Inputs	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/70	1Endri, djv03	Feature Archive	5	5
Manage Agent Configuration	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/52	shikharthakur2404	Feature Archive	3	3
Load Agent Configuration	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/51	K-Vineesh	Feature Archive	3	3
Save Agent Configuration	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/47	Asadraza17	Feature Archive	3	3
Build Process Video	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/43	djv03	Feature Archive	2	3
Prepare Build Process Review	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/22	1Endri, abdulmoeez1225, Asadraza17, djv03, qiblatainf	Feature Archive	3	2
Core Backend Foundation	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/7	1Endri, djv03, qiblatainf	Feature Archive	5	5
Audio Output via LiveKit (Text-to-Speech)	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/15	qiblatainf	Feature Archive	5	5
Basic LLM Integration 	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/18	Asadraza17, K-Vineesh	Feature Archive	5	5
Audio Input via LiveKit (Speech-to-Text)	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/14	abdulmoeez1225, qiblatainf	Feature Archive	5	8
DB Integration	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/32	1Endri	Feature Archive	5	5
Setup LiveKit Infrastructure	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/26	abdulmoeez1225, Asadraza17	Feature Archive	5	5
CI/CD Pipeline	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/10	abdulmoeez1225	Feature Archive	5	8
Design Team Logo	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/1	abdulmoeez1225	Feature Archive	1	1
Initialize Software Bill of Materials	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/13	1Endri	Feature Archive	3	2
System Architecture	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/12	abdulmoeez1225, djv03, qiblatainf	Feature Archive	5	5
Basic Agent Runtime	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/33	djv03, shikharthakur2404	Feature Archive	5	5
First UI Design & Implementation	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/5	Asadraza17, shikharthakur2404	Feature Archive	5	5
Setup Development Environment	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/17	K-Vineesh	Feature Archive	3	5
Schema Foundation	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/6	K-Vineesh, shikharthakur2404	Feature Archive	3	3
Consistent data extraction from the conversation and showing in history	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/159	abdulmoeez1225, qiblatainf	Feature Archive		5
Data Extraction not displayed correctly	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/183	abdulmoeez1225, qiblatainf	Feature Archive		
fix: resolve Gemini intent routing and harden API security	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/177	abdulmoeez1225	Feature Archive		3
Greeting message not showing up in the conversation history	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/164	abdulmoeez1225, qiblatainf	Feature Archive		3
LLM Streaming frontend integration	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/162	K-Vineesh	Feature Archive		3
User Chat Interaction	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/48		Feature Archive		
Context Model Foundation	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/9		Feature Archive		
[ROUTING] IntentRouter overrides user-configured agent_config from voice metadata	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/110	abdulmoeez1225	Feature Archive		
LLM External Tool Execution	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/44		Feature Archive		
Remove Legacy Text Input Processing Pipeline	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/126		Feature Archive		
Routing Tool for Handoff between Agents	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/77		Feature Archive		
Persistent Handling of Extracted Data	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/106		Feature Archive		
Clean up session start UI	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/125		Feature Archive		
Agent does not collect customer information	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/170		Feature Archive		
Transitive Workflow Dependency Resolution	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/156		Feature Archive		
