#,Context,Name,Version,License,Comment
1,npm,@bufbuild/protobuf,1.10.1,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
2,npm,@floating-ui/core,1.7.5,MIT,Syft scan (2026-07-02T06:42:43Z)
3,npm,@floating-ui/dom,1.7.4,MIT,Syft scan (2026-07-02T06:42:43Z)
4,npm,@floating-ui/dom,1.7.6,MIT,Syft scan (2026-07-02T06:42:43Z)
5,npm,@floating-ui/react-dom,2.1.8,MIT,Syft scan (2026-07-02T06:42:43Z)
6,npm,@floating-ui/utils,0.2.11,MIT,Syft scan (2026-07-02T06:42:43Z)
7,npm,@livekit/components-core,0.12.13,Apache-2.0,Syft scan (2026-07-02T06:42:43Z)
8,npm,@livekit/components-react,2.9.20,Apache-2.0,Syft scan (2026-07-02T06:42:43Z)
9,npm,@livekit/components-styles,1.2.0,Apache-2.0,Syft scan (2026-07-02T06:42:43Z)
10,npm,@livekit/mutex,1.1.1,Apache-2.0,Syft scan (2026-07-02T06:42:43Z)
11,npm,@livekit/protocol,1.45.3,Apache-2.0,Syft scan (2026-07-02T06:42:43Z)
12,npm,@radix-ui/number,1.1.1,MIT,Syft scan (2026-07-02T06:42:43Z)
13,npm,@radix-ui/primitive,1.1.3,MIT,Syft scan (2026-07-02T06:42:43Z)
14,npm,@radix-ui/react-accessible-icon,1.1.7,MIT,Syft scan (2026-07-02T06:42:43Z)
15,npm,@radix-ui/react-accordion,1.2.12,MIT,Syft scan (2026-07-02T06:42:43Z)
16,npm,@radix-ui/react-alert-dialog,1.1.15,MIT,Syft scan (2026-07-02T06:42:43Z)
17,npm,@radix-ui/react-arrow,1.1.7,MIT,Syft scan (2026-07-02T06:42:43Z)
18,npm,@radix-ui/react-aspect-ratio,1.1.7,MIT,Syft scan (2026-07-02T06:42:43Z)
19,npm,@radix-ui/react-avatar,1.1.10,MIT,Syft scan (2026-07-02T06:42:43Z)
20,npm,@radix-ui/react-checkbox,1.3.3,MIT,Syft scan (2026-07-02T06:42:43Z)
21,npm,@radix-ui/react-collapsible,1.1.12,MIT,Syft scan (2026-07-02T06:42:43Z)
22,npm,@radix-ui/react-collection,1.1.7,MIT,Syft scan (2026-07-02T06:42:43Z)
23,npm,@radix-ui/react-compose-refs,1.1.2,MIT,Syft scan (2026-07-02T06:42:43Z)
24,npm,@radix-ui/react-context,1.1.2,MIT,Syft scan (2026-07-02T06:42:43Z)
25,npm,@radix-ui/react-context-menu,2.2.16,MIT,Syft scan (2026-07-02T06:42:43Z)
26,npm,@radix-ui/react-dialog,1.1.15,MIT,Syft scan (2026-07-02T06:42:43Z)
27,npm,@radix-ui/react-direction,1.1.1,MIT,Syft scan (2026-07-02T06:42:43Z)
28,npm,@radix-ui/react-dismissable-layer,1.1.11,MIT,Syft scan (2026-07-02T06:42:43Z)
29,npm,@radix-ui/react-dropdown-menu,2.1.16,MIT,Syft scan (2026-07-02T06:42:43Z)
30,npm,@radix-ui/react-focus-guards,1.1.3,MIT,Syft scan (2026-07-02T06:42:43Z)
31,npm,@radix-ui/react-focus-scope,1.1.7,MIT,Syft scan (2026-07-02T06:42:43Z)
32,npm,@radix-ui/react-form,0.1.8,MIT,Syft scan (2026-07-02T06:42:43Z)
33,npm,@radix-ui/react-hover-card,1.1.15,MIT,Syft scan (2026-07-02T06:42:43Z)
34,npm,@radix-ui/react-id,1.1.1,MIT,Syft scan (2026-07-02T06:42:43Z)
35,npm,@radix-ui/react-label,2.1.7,MIT,Syft scan (2026-07-02T06:42:43Z)
36,npm,@radix-ui/react-menu,2.1.16,MIT,Syft scan (2026-07-02T06:42:43Z)
37,npm,@radix-ui/react-menubar,1.1.16,MIT,Syft scan (2026-07-02T06:42:43Z)
38,npm,@radix-ui/react-navigation-menu,1.2.14,MIT,Syft scan (2026-07-02T06:42:43Z)
39,npm,@radix-ui/react-one-time-password-field,0.1.8,MIT,Syft scan (2026-07-02T06:42:43Z)
40,npm,@radix-ui/react-password-toggle-field,0.1.3,MIT,Syft scan (2026-07-02T06:42:43Z)
41,npm,@radix-ui/react-popover,1.1.15,MIT,Syft scan (2026-07-02T06:42:43Z)
42,npm,@radix-ui/react-popper,1.2.8,MIT,Syft scan (2026-07-02T06:42:43Z)
43,npm,@radix-ui/react-portal,1.1.9,MIT,Syft scan (2026-07-02T06:42:43Z)
44,npm,@radix-ui/react-presence,1.1.5,MIT,Syft scan (2026-07-02T06:42:43Z)
45,npm,@radix-ui/react-primitive,2.1.3,MIT,Syft scan (2026-07-02T06:42:43Z)
46,npm,@radix-ui/react-progress,1.1.7,MIT,Syft scan (2026-07-02T06:42:43Z)
47,npm,@radix-ui/react-radio-group,1.3.8,MIT,Syft scan (2026-07-02T06:42:43Z)
48,npm,@radix-ui/react-roving-focus,1.1.11,MIT,Syft scan (2026-07-02T06:42:43Z)
49,npm,@radix-ui/react-scroll-area,1.2.10,MIT,Syft scan (2026-07-02T06:42:43Z)
50,npm,@radix-ui/react-select,2.2.6,MIT,Syft scan (2026-07-02T06:42:43Z)
51,npm,@radix-ui/react-separator,1.1.7,MIT,Syft scan (2026-07-02T06:42:43Z)
52,npm,@radix-ui/react-slider,1.3.6,MIT,Syft scan (2026-07-02T06:42:43Z)
53,npm,@radix-ui/react-slot,1.2.3,MIT,Syft scan (2026-07-02T06:42:43Z)
54,npm,@radix-ui/react-slot,1.2.4,MIT,Syft scan (2026-07-02T06:42:43Z)
55,npm,@radix-ui/react-switch,1.2.6,MIT,Syft scan (2026-07-02T06:42:43Z)
56,npm,@radix-ui/react-tabs,1.1.13,MIT,Syft scan (2026-07-02T06:42:43Z)
57,npm,@radix-ui/react-toast,1.2.15,MIT,Syft scan (2026-07-02T06:42:43Z)
58,npm,@radix-ui/react-toggle,1.1.10,MIT,Syft scan (2026-07-02T06:42:43Z)
59,npm,@radix-ui/react-toggle-group,1.1.11,MIT,Syft scan (2026-07-02T06:42:43Z)
60,npm,@radix-ui/react-toolbar,1.1.11,MIT,Syft scan (2026-07-02T06:42:43Z)
61,npm,@radix-ui/react-tooltip,1.2.8,MIT,Syft scan (2026-07-02T06:42:43Z)
62,npm,@radix-ui/react-use-callback-ref,1.1.1,MIT,Syft scan (2026-07-02T06:42:43Z)
63,npm,@radix-ui/react-use-controllable-state,1.2.2,MIT,Syft scan (2026-07-02T06:42:43Z)
64,npm,@radix-ui/react-use-effect-event,0.0.2,MIT,Syft scan (2026-07-02T06:42:43Z)
65,npm,@radix-ui/react-use-escape-keydown,1.1.1,MIT,Syft scan (2026-07-02T06:42:43Z)
66,npm,@radix-ui/react-use-is-hydrated,0.1.0,MIT,Syft scan (2026-07-02T06:42:43Z)
67,npm,@radix-ui/react-use-layout-effect,1.1.1,MIT,Syft scan (2026-07-02T06:42:43Z)
68,npm,@radix-ui/react-use-previous,1.1.1,MIT,Syft scan (2026-07-02T06:42:43Z)
69,npm,@radix-ui/react-use-rect,1.1.1,MIT,Syft scan (2026-07-02T06:42:43Z)
70,npm,@radix-ui/react-use-size,1.1.1,MIT,Syft scan (2026-07-02T06:42:43Z)
71,npm,@radix-ui/react-visually-hidden,1.2.3,MIT,Syft scan (2026-07-02T06:42:43Z)
72,npm,@radix-ui/rect,1.1.1,MIT,Syft scan (2026-07-02T06:42:43Z)
73,npm,@types/dom-mediacapture-record,1.0.22,MIT,Syft scan (2026-07-02T06:42:43Z)
74,npm,@types/react,19.2.14,MIT,Syft scan (2026-07-02T06:42:43Z)
75,npm,@types/react-dom,19.2.3,MIT,Syft scan (2026-07-02T06:42:43Z)
76,python,aiofiles,25.1.0,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
77,python,aiohappyeyeballs,2.6.1,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
78,python,aiohttp,3.13.5,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
79,python,aiosignal,1.4.0,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
80,python,aiosqlite,0.22.1,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
81,python,alembic,1.18.4,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
82,python,annotated-doc,0.0.4,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
83,python,annotated-types,0.7.0,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
84,python,anyio,4.13.0,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
85,npm,aria-hidden,1.2.6,MIT,Syft scan (2026-07-02T06:42:43Z)
86,python,attrs,26.1.0,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
87,python,av,17.0.1,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
88,python,certifi,2026.4.22,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
89,python,cffi,2.0.0,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
90,python,cfgv,3.5.0,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
91,python,charset-normalizer,3.4.7,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
92,npm,class-variance-authority,0.7.1,Apache-2.0,Syft scan (2026-07-02T06:42:43Z)
93,python,click,8.3.3,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
94,npm,clsx,2.1.1,MIT,Syft scan (2026-07-02T06:42:43Z)
95,python,colorama,0.4.6,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
96,npm,cookie,1.1.1,MIT,Syft scan (2026-07-02T06:42:43Z)
97,python,cryptography,47.0.0,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
98,npm,csstype,3.2.3,MIT,Syft scan (2026-07-02T06:42:43Z)
99,npm,detect-node-es,1.1.0,MIT,Syft scan (2026-07-02T06:42:43Z)
100,python,distlib,0.4.0,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
101,python,distro,1.9.0,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
102,python,docstring-parser,0.18.0,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
103,python,eval-type-backport,0.3.1,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
104,npm,events,3.3.0,MIT,Syft scan (2026-07-02T06:42:43Z)
105,python,fastapi,0.115.14,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
106,python,filelock,3.29.0,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
107,python,flatbuffers,25.12.19,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
108,python,frozenlist,1.8.0,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
109,npm,get-nonce,1.0.1,MIT,Syft scan (2026-07-02T06:42:43Z)
110,python,google-api-core,2.30.3,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
111,python,google-auth,2.49.2,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
112,python,google-cloud-speech,2.38.0,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
113,python,google-cloud-texttospeech,2.36.0,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
114,python,google-genai,1.73.1,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
115,python,googleapis-common-protos,1.74.0,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
116,python,greenlet,3.5.1,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
117,python,grpcio,1.80.0,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
118,python,grpcio-status,1.80.0,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
119,python,h11,0.16.0,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
120,python,httpcore,1.0.9,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
121,python,httptools,0.7.1,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
122,python,httpx,0.28.1,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
123,python,identify,2.6.19,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
124,python,idna,3.13,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
125,python,importlib-metadata,8.7.1,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
126,python,iniconfig,2.3.0,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
127,python,jiter,0.14.0,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
128,npm,jose,6.2.2,MIT,Syft scan (2026-07-02T06:42:43Z)
129,python,jsonpath-python,1.1.6,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
130,python,jsonschema,4.26.0,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
131,python,jsonschema-specifications,2025.9.1,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
132,python,librt,0.9.0,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
133,python,livekit,1.1.5,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
134,python,livekit-agents,1.5.6,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
135,python,livekit-api,1.1.0,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
136,python,livekit-blingfire,1.1.0,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
137,npm,livekit-client,2.18.6,Apache-2.0,Syft scan (2026-07-02T06:42:43Z)
138,python,livekit-plugins-deepgram,1.5.6,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
139,python,livekit-plugins-elevenlabs,1.5.6,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
140,python,livekit-plugins-google,1.5.6,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
141,python,livekit-plugins-openai,1.5.6,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
142,python,livekit-plugins-silero,1.5.6,UNKNOWN,Syft scan (2026-07-02T06:42:43Z)
